Designator,Mid X,Mid Y,Rotation,Layer
BT1,213.25,-95.5,270.0,top
C1,160.75,-49.5,270.0,top
C10,98.4,-85.75,180.0,top
C11,98.4,-89.005,180.0,top
C12,90.1875,-64.0,0.0,top
C13,86.9,-59.0,90.0,top
C14,96.9375,-64.0,0.0,top
C15,195.4,-96.2,0.0,top
C16,195.4,-98.46,0.0,top
C17,188.15,-87.7,0.0,top
C18,188.15,-85.45,0.0,top
C19,187.0,-78.25,0.0,top
C2,158.5,-49.5,270.0,top
C20,187.0,-80.5,0.0,top
C21,187.0,-82.75,0.0,top
C22,155.75,-80.48,180.0,top
C23,155.75,-78.25,180.0,top
C24,199.5,-76.5,90.0,top
C25,194.25,-79.75,180.0,top
C26,206.075,-76.1475,270.0,top
C27,194.93,-55.25,180.0,top
C28,87.37,-107.45,270.0,top
C29,96.9,-107.49,90.0,top
C3,90.15,-73.75,0.0,top
C30,100.25,-48.75,0.0,bottom
C31,80.5,-115.25,270.0,bottom
C32,80.5,-95.25,270.0,bottom
C33,80.5,-75.25,270.0,bottom
C34,80.5,-58.75,270.0,bottom
C35,110.25,-48.75,0.0,bottom
C36,120.25,-48.75,0.0,bottom
C37,130.25,-48.725,0.0,bottom
C38,140.25,-48.75,0.0,bottom
C39,160.25,-48.75,0.0,bottom
C4,90.1875,-76.5,0.0,top
C40,150.25,-48.75,0.0,bottom
C41,170.25,-48.75,0.0,bottom
C42,180.25,-48.75,0.0,bottom
C43,190.25,-48.75,0.0,bottom
C44,214.0,-111.75,90.0,bottom
C45,213.75,-72.0,90.0,bottom
C46,214.0,-55.5,90.0,bottom
C47,214.0,-92.0,90.0,bottom
C5,90.1875,-79.225,0.0,top
C6,84.6875,-82.975,270.0,top
C7,91.6875,-90.975,0.0,top
C8,91.6875,-93.225,0.0,top
C9,88.4,-94.225,270.0,top
D1,98.15,-99.975,270.0,top
D10,209.0,-76.1875,90.0,top
D11,94.65,-76.725,270.0,top
D12,84.4,-101.44,180.0,top
D13,217.69,-113.64,270.0,bottom
D14,217.69,-93.69,270.0,bottom
D15,217.55,-73.64,270.0,bottom
D16,217.65,-57.12,270.0,bottom
D17,191.91,-45.02,180.0,bottom
D18,181.91,-45.01,180.0,bottom
D19,171.94,-45.02,180.0,bottom
D2,93.6875,-85.725,90.0,top
D20,161.95,-45.03,180.0,bottom
D21,151.97,-45.02,180.0,bottom
D22,141.96,-45.04,180.0,bottom
D23,132.0,-45.05,180.0,bottom
D24,121.99,-45.05,180.0,bottom
D25,112.0,-45.08,180.0,bottom
D26,102.0,-45.07,180.0,bottom
D27,76.71,-57.15,90.0,bottom
D28,76.68,-73.7,90.0,bottom
D29,76.68,-93.69,90.0,bottom
D3,99.725,-78.5,0.0,top
D30,76.62,-113.67,90.0,bottom
D4,99.9,-112.25,0.0,top
D5,92.25,-69.0,0.0,top
D6,99.9,-69.0,0.0,top
D7,189.9,-91.2,0.0,top
D8,137.8125,-108.55,180.0,top
D9,194.75,-73.25,180.0,top
F1,92.9,-101.25,180.0,top
F2,106.0,-87.25,0.0,top
G1,93.65,-58.0,90.0,top
IC1,207.775,-72.025,0.0,top
IC2,212.25,-115.5,0.0,top
J1,120.52,-96.695,0.0,top
J2,171.34,-78.862,0.0,top
J3,191.75,-125.25,0.0,top
J4,149.73,-106.345,270.0,top
J5,189.25,-43.5,90.0,top
J6,150.0,-67.75,90.0,top
J7,148.3,-56.25,90.0,top
L1,97.7,-88.5,0.0,top
L2,189.4,-96.7,180.0,top
Q1,85.65,-72.0,0.0,top
Q2,194.15,-101.7,180.0,top
Q3,194.4,-105.7,180.0,top
R1,156.25,-49.5,90.0,top
R10,85.6875,-75.25,180.0,top
R11,85.65,-68.75,180.0,top
R12,99.725,-76.25,180.0,top
R13,99.9,-114.5,180.0,top
R14,99.9,-66.75,180.0,top
R15,187.15,-105.95,90.0,top
R16,197.4,-101.7,270.0,top
R17,190.15,-106.95,180.0,top
R18,190.15,-104.95,0.0,top
R19,184.75,-64.75,90.0,top
R2,154.0,-49.5375,90.0,top
R20,182.7,-64.75,270.0,top
R21,181.25,-68.25,0.0,top
R22,183.25,-121.25,270.0,top
R23,200.25,-121.5,90.0,top
R24,194.86,-60.75,0.0,top
R25,132.75,-110.0,0.0,top
R26,193.5,-76.5,270.0,top
R27,198.25,-79.75,180.0,top
R28,211.575,-72.125,90.0,top
R29,206.5,-68.75,180.0,top
R3,85.6875,-77.5,180.0,top
R30,210.5,-68.75,180.0,top
R31,190.93,-55.25,0.0,top
R32,84.4,-99.23,0.0,top
R33,124.27,-53.46,90.0,top
R34,138.77,-53.46,90.0,top
R35,128.27,-63.46,180.0,top
R36,134.77,-63.46,180.0,top
R4,85.6875,-79.725,180.0,top
R5,91.6875,-95.475,180.0,top
R6,94.15,-97.75,180.0,top
R7,90.15,-97.75,180.0,top
R8,85.9,-94.225,270.0,top
R9,106.0,-71.75,180.0,top
SW1,202.3,-59.075,270.0,top
SW2,210.3,-59.075,270.0,top
T1,106.0,-79.0,180.0,top
U1,171.825,-56.49,0.0,top
U10,134.77,-56.71,270.0,top
U2,88.4875,-85.375,270.0,top
U3,188.65,-101.7,0.0,top
U4,192.0,-116.5,270.0,top
U5,192.86,-64.5,0.0,top
U6,196.595,-77.02,0.0,top
U7,192.93,-51.25,180.0,top
U8,92.15,-112.24,270.0,top
U9,128.27,-56.71,270.0,top
